Model,Feature,Importance,Importance_Pct
xgb,MWH_Lag1,0.3136012554168701,31.36012336929056
xgb,Extreme_Heat_85,0.30040425062179565,30.04042298120216
xgb,MWH_Lag24,0.13632020354270935,13.632019409945869
xgb,HeatIndex_CDD,0.05513029173016548,5.513028791114856
xgb,HeatIndexF,0.04113719239830971,4.113718954863073
xgb,CDD,0.03775680810213089,3.775680548661981
xgb,Temp_Squared,0.024411892518401146,2.4411890827326648
xgb,Temperature,0.020224975422024727,2.022497402098873
xgb,MWH_Rolling3,0.020129848271608353,2.0129846877162056
xgb,CDD_Squared,0.010470408014953136,1.0470407289641077
xgb,HourCos,0.00818339828401804,0.818339771713302
xgb,BTM_Solar_Cloud_Adjusted_MW,0.0039201779291033745,0.39201776575425795
xgb,IsOffPeak,0.00390035891905427,0.3900358648866389
xgb,BTM_x_GHI,0.0024367105215787888,0.2436710352781592
xgb,Solar_Hour_Shape,0.002328538568690419,0.23285384073865714
xgb,MWH_Lag2,0.0017627500928938389,0.1762749970783612
xgb,BTM_Solar_Proxy_MW,0.0017509358003735542,0.17509356790817338
xgb,Solar_Midday_Flag,0.0017341567436233163,0.1734156623493824
xgb,Solar_Irradiance,0.0016646747244521976,0.16646746091359035
xgb,BTM_ClearSky_Proxy_MW,0.0015976967988535762,0.1597696688177015
xgb,MWH_SameHour7DayMean,0.001432524062693119,0.14325239634584977
xgb,ClearSky_GHI_Proxy_Wm2,0.0006911974051035941,0.06911973572225744
xgb,Solar_Ramp_Down_2hr,0.0005338944029062986,0.0533894365922062
xgb,Hot_Humid_Stress,0.00048190075904130936,0.04819007256588059
xgb,HourSin,0.0004451843851711601,0.04451843543320942
xgb,Daily_CDD,0.0004150379099883139,0.04150378812375718
xgb,MWH_Rolling24,0.0003861789300572127,0.03861789033056062
xgb,Solar_Ramp_Down_1hr,0.00035493969335220754,0.03549396687646232
xgb,MWH_Lag3,0.00034078769385814667,0.03407876702509077
xgb,BTM_Midday_Impact,0.00032826740061864257,0.03282673778787165
xgb,IsOnPeak,0.0003102664777543396,0.031026645626138365
xgb,BTM_Evening_Ramp_Impact,0.00030646612867712975,0.03064661074474338
xgb,DailyMaxTempBin,0.0002854092454072088,0.028540922563617725
xgb,Temperature_DailyMax,0.0002148639177903533,0.02148639029061778
xgb,MWH_Rolling24Std,0.000192669962416403,0.01926699490696598
xgb,IsMonday,0.00019168747530784458,0.01916874620291608
