Focused_Scorecard_Guard_Source,N,Actual,Forecast,Bias_ActualMinusForecast,Mean_Error_ForecastMinusActual,MAE,RMSE,P90Abs,MaxUF,MaxOF,AbsErrorSum,OverRate,UnderRate
none,237.0,248.34910548523206,246.10617014520633,2.242935340025714,-2.242935340025714,4.948559486555233,6.38229616037179,9.569365478095012,15.278043151952488,25.71010971309707,1172.8085983135902,26.160337552742618,73.83966244725738
july_long_95_98_peak_recovery_up,21.0,257.26673495238094,265.30007983106526,-8.033344878684334,8.033344878684334,12.051930041009197,13.879365299170212,20.952893657958015,10.947091882102995,23.296231215683235,253.09053086119314,66.66666666666666,33.33333333333333
july_long_mild_hot_peak_soft_down,20.0,217.47428965,222.16866105292843,-4.694371402928438,4.694371402928438,10.774603808010017,13.596023499599955,22.17586146498173,16.66733138062952,24.89073180697889,215.49207616020036,50.0,50.0
june_long_95_100_low_forecast_hot_extra_up,17.0,237.93331788235295,249.80416815741137,-11.870850275058435,11.870850275058435,11.919244025723755,13.405756082571687,19.798859536697858,0.4113468806552021,20.479685663562407,202.62714843730382,94.11764705882352,5.88235294117647
august_long_95_100_clear_peak_soft_backoff,20.0,257.70544765000005,250.9744266213861,6.731021028613874,-6.731021028613874,7.568782271564773,9.509539023781311,14.579711132818858,19.23573955054337,4.082593230121688,151.37564543129545,25.0,75.0
june_long_hot_100_105_peak_finish_up,18.0,300.9593626111111,294.7603190369481,6.199043574163038,-6.199043574163038,6.456187573259102,7.1678795545411385,9.868601897191736,12.69541720873002,2.314295991864583,116.21137631866384,5.555555555555555,94.44444444444444
august_long_100_plus_peak_finish_up,12.0,297.60686841666666,301.3782222935901,-3.7713538769234467,3.7713538769234467,6.76421125401463,8.095950378311095,13.713498342789787,5.685341405856832,16.10050510701683,81.17053504817557,58.333333333333336,41.66666666666667
june_long_100_plus_evening_finish_up,11.0,289.61873836363634,283.2699407601108,6.348797603525596,-6.348797603525596,6.431048282796589,6.994982161196973,8.93667696829715,9.358343389962158,0.4523787359904645,70.74153111076248,9.090909090909092,90.9090909090909
june_long_95_100_evening_recovery_up+june_long_95_100_low_forecast_hot_extra_up,3.0,242.93148600000004,265.8696680681781,-22.938182068178094,22.938182068178094,22.938182068178094,23.963127881379407,28.74741073453739,-13.324609017118632,29.415705495090435,68.81454620453428,100.0,0.0
may_long_hot_93_97_down,10.0,211.59183810000005,207.87990583708978,3.7119322629102074,-3.7119322629102074,6.815361045708014,7.855386425620079,11.688880980077087,11.881982906246321,4.373622329108628,68.15361045708013,50.0,50.0
august_day4to7_highload_peak_up,12.0,309.53484475000005,307.45809382693625,2.076750923063765,-2.076750923063765,4.882433303799203,6.020345853670087,7.484265977702455,13.61060526164681,7.490442190711349,58.58919964559044,41.66666666666667,58.333333333333336
