Feature,Recent_N,Recent_Mean,Recent_P10,Recent_P50,Recent_P90,Analog_N,Analog_Mean,Analog_P10,Analog_P50,Analog_P90,Recent_Minus_Analog_Mean,Recent_vs_Analog_Z_Approx
XGB_Pred_MWH,61,228.67439169961898,188.428955078125,231.9883270263672,264.63336181640625,54,206.56047425446687,166.280029296875,210.8137664794922,240.75738220214845,22.11391744515211,0.733172963102531
LGB_Pred_MWH,61,229.70353995756759,188.14080451081432,233.01682792917012,267.20787872285274,54,207.1241476017953,165.59535196340144,209.29873430135888,244.66801377189515,22.579392355772285,0.7259500954461093
Raw_Forecast_MWH,61,229.14201164244707,188.0447180187196,232.26278990243637,266.33019971693864,54,207.30407670638465,165.75777851082364,210.6182348087665,244.38535649186164,21.837934936062425,0.7095647324017543
CatBoost_Pred_MWH,61,228.39321570235137,187.78394294274065,231.1562909678744,266.5148227594132,54,207.7992802855729,167.56979444652328,211.4961763214307,245.79528431357005,20.593935416778464,0.6742002809191705
CloudCover_Norm,61,0.02459016393442623,0.0,0.0,0.11,54,0.007962962962962963,0.0,0.0,0.01,0.016627200971463266,0.5754978397293622
BTM_Solar_Proxy_MW,61,13.579355852052107,1.5221108342606656e-15,15.94213838920966,22.77782194836653,54,9.157988284531749,0.0,8.964265012432655,20.108143642624835,4.421367567520358,0.5587278207499056
Baseline_Rolling7DaySameHourAvg_MWH,61,193.62632290398125,148.68042857142856,195.99367242857144,238.304827,54,206.63661313227513,169.5044376857143,209.59038842857143,241.28148520000002,-13.010290228293883,-0.45954323513352563
ClearSky_Index,61,1.244175266304036,1.0149909943127675,1.3367432615142167,1.35,54,1.0821361359523434,0.0,1.3287068311515915,1.35,0.1620391303516926,0.3683408889633286
BTM_Solar_Loss_From_ClearSky_MW,61,0.0005819686410148378,0.0,0.0,0.0,54,1.506299785618595,0.0,0.0,2.696071090063189,-1.50571781697758,-0.3167746222664287
Actual_MWH,61,215.5943935464481,173.149283,216.148291,257.286941,54,206.50879383333336,160.558151,211.7494625,251.56184800000003,9.085599713114732,0.2716959574830148
WindSpeed_Mph,61,4.354098360655738,2.5,4.1,6.8,54,5.007011367803448,0.0,5.55,8.31,-0.6529130071477098,-0.24213514650980963
Temperature_DailyMax,61,92.59669717322832,90.3,93.3,93.8,54,92.37777777777781,90.03,92.8,93.88,0.21891939545051287,0.1750542754495202
Humidity_Norm,61,0.2522950819672132,0.16,0.24,0.34,54,0.2448148148148148,0.18,0.235,0.34,0.007480267152398384,0.11962455911047497
Temperature,61,90.13286237274673,85.7,90.6,93.3,54,89.84074074074073,85.11,90.45,93.07,0.29212163200600116,0.09701221579978936
Baseline_SameHourYesterday_MWH,61,207.0714884918033,153.302,207.158616,253.292233,54,210.15416449999998,157.3273398,212.7101375,275.9755136,-3.082676008196671,-0.07219139410531698
Baseline_SameHour7DaysAgo_MWH,61,196.1144799180328,125.258208,196.123033,266.974458,54,196.74385294444448,130.60367060000002,201.0091375,270.4264887,-0.6293730264116846,-0.012245970321141098
PrecipIn,61,0.0,0.0,0.0,0.0,54,0.0,0.0,0.0,0.0,0.0,
Midday_Overcast_Solar_Loss_MW,61,0.0,0.0,0.0,0.0,54,0.0,0.0,0.0,0.0,0.0,
