Stage,ForecastColumn,Replay_Origin_ID,Replay_Origin_DT,Replay_Origin_Year,Replay_Origin_Season,Replay_Origin_Month,N,Actual_Mean_MWH,Forecast_Mean_MWH,Bias_MWH,MAE_MWH,MAPE_PCT,Underforecast_Rate_PCT,P90_AbsError_MWH,Max_Underforecast_MWH,Max_Overforecast_MWH,RMSE_MWH
xgb_component,XGB_Pred_MWH,origin_17,2026-04-26 00:00:00-07:00,2026,Spring,4,384,127.136992640625,119.00572075446446,8.131271886160532,8.645319326320648,6.406889602025984,90.625,18.776591986816413,27.500408431640636,7.597210940917975,10.581549329219955
xgb_component,XGB_Pred_MWH,origin_22,2026-07-07 00:00:00-07:00,2026,Summer,7,380,187.94545492105263,186.8260891964561,1.1193657245965258,6.42228634011102,3.4001819589129467,54.473684210526315,13.005744266210938,31.36106962890625,21.691999454101563,8.276079184397092
xgb_component,XGB_Pred_MWH,origin_07,2025-07-20 00:00:00-07:00,2025,Summer,7,384,157.82088622916666,152.01135396957397,5.809532259592692,6.332697640566508,3.952647771534471,87.76041666666666,14.068592519531254,26.098539469726575,6.425366169921887,7.987908095469273
xgb_component,XGB_Pred_MWH,origin_12,2025-12-06 23:00:00-08:00,2025,Winter,12,384,139.45845884114584,134.05264111359915,5.405817727546691,6.109360090337117,4.1534511716822555,89.0625,12.880312533203135,19.462512760742186,21.587761441406258,7.627189403033091
xgb_component,XGB_Pred_MWH,origin_21,2026-07-06 00:00:00-07:00,2026,Summer,7,380,185.74302035789472,185.04586884348015,0.6971515144145768,5.996627883956107,3.246095920978413,55.26315789473685,13.286431228808596,25.187476115234375,21.59462223242187,7.8116379309743085
xgb_component,XGB_Pred_MWH,origin_23,2026-07-20 00:00:00-07:00,2026,Summer,7,366,198.01962114571947,194.37717677465554,3.6424443710639554,5.619947281517266,2.709036386377499,66.93989071038251,12.872210160319028,27.470969970703152,14.7491455078125,7.576976092795708
xgb_component,XGB_Pred_MWH,origin_13,2026-01-03 23:00:00-08:00,2026,Winter,1,384,128.126853875,124.12664979696274,4.000204078037262,4.849984081851959,3.706307553373337,85.67708333333334,10.194538458496098,19.334413126953137,10.755670828613276,6.084533852312925
xgb_component,XGB_Pred_MWH,origin_08,2025-08-17 00:00:00-07:00,2025,Summer,8,384,187.771909734375,188.3543120622635,-0.5824023278884892,4.703557872779846,2.5846095506615065,48.69791666666667,9.423494745019545,16.946047363281252,31.04732905273437,6.198077860961166
xgb_component,XGB_Pred_MWH,origin_19,2026-05-28 00:00:00-07:00,2026,Spring,5,384,158.50971714583332,157.02502357959747,1.48469356623586,4.64197254275004,3.050913872896352,69.79166666666666,8.803411334082023,19.601633195312502,24.621183625976556,5.994863579261449
xgb_component,XGB_Pred_MWH,origin_20,2026-05-29 00:00:00-07:00,2026,Spring,5,384,163.7729361171875,162.50465047359467,1.268285643592834,4.55332286877187,2.9204685468650093,63.28125,8.802492732128899,17.532083634765627,18.40264724902343,5.73518062227231
xgb_component,XGB_Pred_MWH,origin_16,2026-03-29 00:00:00-07:00,2026,Spring,3,384,120.51718188281251,117.49959256251653,3.01758932029597,4.51951830360794,3.6192178757357727,74.21875,9.716409708691407,22.507952075195305,11.141791821289061,5.984713968919976
xgb_component,XGB_Pred_MWH,origin_11,2025-11-08 23:00:00-08:00,2025,Fall,11,384,122.29222068489582,118.43171723683675,3.8605034480590823,4.484633405176798,3.4961184880243352,86.71875,8.52721747031251,24.953250863281255,9.535251464843753,5.8700304773113885
xgb_component,XGB_Pred_MWH,origin_18,2026-05-24 00:00:00-07:00,2026,Spring,5,384,142.90284213541665,141.63616287708282,1.266679258333842,4.326079907023112,3.194372497258494,67.1875,8.67661105219726,17.111143124023442,24.274854890624994,5.617781386911764
xgb_component,XGB_Pred_MWH,origin_10,2025-10-12 00:00:00-07:00,2025,Fall,10,384,118.67937204947917,114.923493206501,3.7558788429781593,4.294113950814565,3.5410995287122407,89.0625,7.636040172753905,14.724521842773441,6.785802465820311,5.032787908834787
xgb_component,XGB_Pred_MWH,origin_14,2026-01-31 23:00:00-08:00,2026,Winter,1,384,120.6618153359375,117.00896527369817,3.652850062239329,4.293851853148143,3.4151966399183493,85.15625,9.149216303222655,25.842804745117178,7.880158162109382,6.079978957648586
xgb_component,XGB_Pred_MWH,origin_05,2025-05-25 00:00:00-07:00,2025,Spring,5,384,153.69139593489584,155.3051970998446,-1.6138011649487811,4.199998118137359,2.7013589984727973,37.5,9.042128317675775,20.004292960937505,26.66217866992187,5.843407156288806
xgb_component,XGB_Pred_MWH,origin_04,2025-04-27 00:00:00-07:00,2025,Spring,4,384,121.913576171875,123.88204437494278,-1.9684682030677794,4.01705931280899,3.2138211038249604,42.44791666666667,8.595261159570315,18.9945223388672,18.638252107421863,5.315899437145263
xgb_component,XGB_Pred_MWH,origin_06,2025-06-22 00:00:00-07:00,2025,Summer,6,384,168.52844033593752,167.4903840223948,1.0380563135426841,3.9329301212158208,2.359871439014509,58.59375,8.935998765917958,14.793698803710924,19.604992749023438,5.214920677215725
xgb_component,XGB_Pred_MWH,origin_03,2025-03-30 00:00:00-07:00,2025,Spring,3,384,111.3258731328125,108.96723548571269,2.358637647099813,3.879830694897969,3.4223353391795652,74.21875,7.490973497265629,17.4801451015625,9.716365698242186,4.85331553502081
xgb_component,XGB_Pred_MWH,origin_09,2025-09-14 00:00:00-07:00,2025,Summer,9,384,162.83103684895835,163.1547555923462,-0.3237187433878574,3.821983935348511,2.35981475925776,55.729166666666664,7.672332263671865,10.133071801757808,35.63123605078124,5.883970669971458
xgb_component,XGB_Pred_MWH,origin_15,2026-02-28 23:00:00-08:00,2026,Winter,2,384,115.88717167708334,112.90084785223007,2.9863238248532613,3.8015393727353417,3.2282506651780625,80.98958333333334,7.042760534033199,12.009128759765616,9.345840005859372,4.570874990418777
xgb_component,XGB_Pred_MWH,origin_02,2024-11-09 23:00:00-08:00,2024,Fall,11,384,116.68925462760417,114.44138316313426,2.24787146446991,3.7465087396189376,3.0657190781168744,72.91666666666666,8.232189315234375,14.391281258789064,12.059415625,4.81498462089801
xgb_component,XGB_Pred_MWH,origin_01,2024-10-13 00:00:00-07:00,2024,Fall,10,384,116.30257716666667,117.40668040513992,-1.1041032384732563,3.2899548851661677,2.891912144328406,30.729166666666668,6.295998099951177,12.834599584960927,14.60965652636719,4.058134854050844
