Stage,ForecastColumn,Replay_Origin_ID,Replay_Origin_DT,Replay_Origin_Year,Replay_Origin_Season,Replay_Origin_Month,N,Actual_Mean_MWH,Forecast_Mean_MWH,Bias_MWH,MAE_MWH,MAPE_PCT,Underforecast_Rate_PCT,P90_AbsError_MWH,Max_Underforecast_MWH,Max_Overforecast_MWH,RMSE_MWH
xgb_component,XGB_Pred_MWH,origin_07,2025-07-20 00:00:00-07:00,2025,Summer,7,384,157.82088622916666,137.4972659945488,20.32362023461787,20.32362023461787,12.482281557778292,100.0,38.190786913476565,53.8551085859375,0.0,23.206148155647508
xgb_component,XGB_Pred_MWH,origin_08,2025-08-17 00:00:00-07:00,2025,Summer,8,384,187.771909734375,174.00905772050223,13.762852013872783,14.120573920031228,7.190727197846809,94.01041666666666,26.926385826562512,38.27226766796878,12.499279125976557,16.69905698248281
xgb_component,XGB_Pred_MWH,origin_12,2025-12-06 23:00:00-08:00,2025,Winter,12,384,139.45845884114584,126.85243050257365,12.606028338572186,12.615048788991293,8.755427360789517,99.73958333333334,22.48978637167969,31.786975651367186,1.7319264804687577,14.148724267054028
xgb_component,XGB_Pred_MWH,origin_17,2026-04-26 00:00:00-07:00,2026,Spring,4,384,127.136992640625,115.69990718364716,11.437085456977846,11.744989975619,8.595885687374533,94.53125,24.05828564345702,43.09452946777344,6.983334598144538,14.58577253787921
xgb_component,XGB_Pred_MWH,origin_11,2025-11-08 23:00:00-08:00,2025,Fall,11,384,122.29222068489582,111.52254937092464,10.769671313971202,10.787046738056183,8.601595069382428,99.21875,17.105897143066418,29.580333687988286,2.669582214355472,11.952017358162061
xgb_component,XGB_Pred_MWH,origin_23,2026-07-20 00:00:00-07:00,2026,Summer,7,384,200.19178741406247,190.6273138920466,9.56447352201589,9.862004093493143,4.64222195144037,95.3125,19.8576721435547,32.29164868164065,10.075341064453113,11.923031531690679
xgb_component,XGB_Pred_MWH,origin_24,2026-07-21 00:00:00-07:00,2026,Summer,7,384,200.7955977239583,192.2295847336451,8.566012990313212,9.159946376569112,4.254678685107172,92.96875,18.339817689843773,30.217857177734402,11.635918457031238,11.252181530064812
xgb_component,XGB_Pred_MWH,origin_13,2026-01-03 23:00:00-08:00,2026,Winter,1,384,128.126853875,120.09546899795532,8.031384877044678,8.285721219103495,6.356337032559349,95.05208333333334,13.941689009033205,23.532838419921887,6.977496280273442,9.30939099929378
xgb_component,XGB_Pred_MWH,origin_22,2026-07-07 00:00:00-07:00,2026,Summer,7,380,187.94545492105263,181.46212718361303,6.483327737439608,8.263623645832906,4.248122305794044,75.52631578947368,17.731637231738283,34.468912109375,16.809695703124987,10.635220562988145
xgb_component,XGB_Pred_MWH,origin_09,2025-09-14 00:00:00-07:00,2025,Summer,9,384,162.83103684895835,156.03513006369272,6.795906785265605,7.782832099037171,4.633114662267686,90.36458333333334,14.766512921874995,21.206684130859372,21.380290005859365,9.172221367933473
