ForecastColumn,RankBasis,Month,Forecast_Day_Bucket,Peak_Hour_Band,DailyMaxTempBiasBand,CloudCoverBiasBand,LagAnchorState,N,Residual_Sum_MWH,Positive_Residual_Sum_MWH,Negative_Residual_Sum_MWH,Bias_MWH,MAE_MWH,Underforecast_Rate_PCT,P90_AbsError_MWH,Max_Underforecast_MWH,Max_Overforecast_MWH,Actual_Mean_MWH,Forecast_Mean_MWH,Raw_Bias_MWH,Raw_Residual_Sum_MWH,Mean_RawMinusSameHour7_MWH,Mean_Lag24MinusSameHour7_MWH,RMSE_MWH,Abs_Residual_Sum_MWH,Bias_Delta_vs_Raw_MWH
Final_Backtest_Forecast_MWH,Residual_Sum_MWH_desc,2,Days8-16,HE16-18,<75,Overcast,-10..10,22,83.17345648093567,95.7424040750723,-12.568947594136631,3.7806116582243487,4.923243257691315,77.27272727272727,10.761013167922062,16.693403754374486,6.728978734446542,144.5913370909091,140.81072543268473,9.30851726491743,204.78737982818348,-1.6074569729228776,-2.9619902677009646,6.358446157875982,83.17345648093567,-5.527905606693082
Final_Backtest_Forecast_MWH,Residual_Sum_MWH_desc,11,Days4-7,HE16-18,<75,Overcast,-10..10,17,71.03185845257907,72.50197968081808,-1.4701212282390088,4.1783446148575925,4.351300053473946,88.23529411764706,10.26695899945299,11.068823399933663,1.1030113461506517,142.9544618235294,138.77611720867182,6.253392741425029,106.30767660422549,-3.143562436233245,-1.1705959832073556,5.7142553622201975,71.03185845257907,-2.0750481265674363
Final_Backtest_Forecast_MWH,Residual_Sum_MWH_desc,7,Days4-7,HE14-15,95-98,Clear/Low,-10..10,6,60.890245110305216,60.890245110305216,0.0,10.14837418505087,10.14837418505087,100.0,11.934547532831076,12.192295877955758,-7.279038734824866,242.49973716666668,232.35136298161578,8.4009621031389,50.405772618833396,-0.6487341880769103,-12.027493525880265,10.334633654001948,60.890245110305216,1.7474120819119694
Final_Backtest_Forecast_MWH,Residual_Sum_MWH_desc,7,Days4-7,HE16-18,95-98,Clear/Low,-10..10,18,59.82568860359302,61.90016614691919,-2.074477543326168,3.323649366866279,3.5541468716802975,83.33333333333334,5.818078057830986,9.340286272981643,0.9934574683227311,275.86928800000004,272.5456386331337,6.7272830992211015,121.09109578597983,-0.5224731697755437,-2.6063248002211075,4.214989327134577,59.82568860359302,-3.4036337323548222
Final_Backtest_Forecast_MWH,Residual_Sum_MWH_desc,2,Days8-16,HE14-15,<75,Overcast,-10..10,12,58.13349143517654,69.39954811113908,-11.266056675962545,4.844457619598045,6.722133732258469,75.0,14.419024794563237,17.501983527343896,7.251792499658521,124.29505033333334,119.4505927137353,9.805083802075625,117.6610056249075,0.09639708014205084,-1.8305916165642404,8.39482970433159,58.13349143517654,-4.96062618247758
Final_Backtest_Forecast_MWH,Residual_Sum_MWH_desc,8,Days8-16,HE16-18,100-105,Clear/Low,10..25,9,57.33973556588279,67.3190524929924,-9.979316927109608,6.371081729542532,8.588707713344668,77.77777777777779,16.07138297309616,17.08907143944475,5.069992552920667,320.9079322222222,314.53685049267966,12.565741338781486,113.09167204903338,19.95491485864772,31.995747086871535,10.203750085325296,57.33973556588279,-6.194659609238953
Final_Backtest_Forecast_MWH,Residual_Sum_MWH_desc,8,Days8-16,HE16-18,105+,Clear/Low,25..50,6,55.62599151214789,55.62599151214789,0.0,9.270998585357981,9.270998585357981,100.0,12.84563593384999,12.966257370129199,-3.536101480543948,349.3093333333333,340.03833474797534,17.8545304280611,107.1271825683666,43.751775822968604,29.746243332788953,9.938512932018321,55.62599151214789,-8.583531842703119
Final_Backtest_Forecast_MWH,Residual_Sum_MWH_desc,7,Days4-7,HE16-18,85-90,Clear/Low,<-10,6,50.6355179210544,50.6355179210544,0.0,8.4392529868424,8.4392529868424,100.0,12.048597987308753,14.611352769293745,-6.020246391843244,196.64986783333333,188.21061484649093,11.760283861987082,70.56170317192249,-25.528131645423937,-22.88807945234225,8.944797516898662,50.6355179210544,-3.3210308751446824
Final_Backtest_Forecast_MWH,Residual_Sum_MWH_desc,4,Days8-16,HE16-18,<75,Overcast,-10..10,9,49.2502013719096,49.50225949345237,-0.25205812154277396,5.472244596878844,5.528257512777238,88.88888888888889,7.475323909170084,9.085859480664283,0.25205812154277396,130.70848577777778,125.23624118089894,5.983488290781405,53.85139461703264,1.3374603363152902,3.440362951978975,6.000961932435706,49.2502013719096,-0.5112436939025606
Final_Backtest_Forecast_MWH,Residual_Sum_MWH_desc,4,Days8-16,HE16-18,<75,Overcast,<-10,8,47.70445000317068,51.598865874107545,-3.894415870936868,5.963056250396335,6.936660218130552,87.5,10.50677827537266,10.573960972767864,3.894415870936868,131.732631,125.76957474960366,5.73730267119875,45.89842136959,-15.978503700556503,-8.301640408052045,7.72487620634166,47.70445000317068,0.2257535791975851
Final_Backtest_Forecast_MWH,Residual_Sum_MWH_desc,5,Days4-7,HE16-18,<75,Overcast,<-10,5,41.78466447416557,41.78466447416557,0.0,8.356932894833113,8.356932894833113,100.0,10.211098412454708,10.644092396994239,-4.613876121591318,142.25707459999998,133.90014170516687,9.291172104748181,46.45586052374091,-49.212404759044354,-47.24969951014959,8.614863871003612,41.78466447416557,-0.9342392099150683
Final_Backtest_Forecast_MWH,Residual_Sum_MWH_desc,7,Days4-7,HE16-18,90-92.5,Overcast,<-10,6,38.72719814555032,40.173634131225015,-1.4464359856746967,6.454533024258386,6.936678352816618,83.33333333333334,10.8041385520295,10.875720396151877,1.4464359856746967,229.55881633333334,223.10428330907496,17.81562736130198,106.8937641678119,-32.72338367628052,11.600286537172655,7.664760201072824,38.72719814555032,-11.361094337043596
Final_Backtest_Forecast_MWH,Residual_Sum_MWH_desc,8,Days8-16,HE14-15,100-105,Clear/Low,10..25,8,33.1692914165821,37.997006734270656,-4.827715317688558,4.146161427072762,5.353090256494902,75.0,10.342749659091698,10.653617987707207,2.4723456529567898,278.2412905,274.09512907292725,7.564042320350389,60.51233856280311,17.773245789475556,32.746781760813136,6.6566679215347415,33.1692914165821,-3.4178808932776263
Final_Backtest_Forecast_MWH,Residual_Sum_MWH_desc,6,Days8-16,HE14-15,75-85,Overcast,<-10,6,28.14841177552927,34.08009414410364,-5.931682368574371,4.691401962588212,6.668629418779669,66.66666666666666,13.321025692013478,13.50865413463137,3.7849227138889034,175.5367165,170.84531453741178,13.096786687602053,78.58072012561232,-40.45554325465868,-42.43514950503036,8.42729590940369,28.14841177552927,-8.405384725013842
Final_Backtest_Forecast_MWH,Residual_Sum_MWH_desc,7,Days8-16,HE16-18,90-92.5,Clear/Low,<-10,7,26.676361172964334,27.26776838427969,-0.5914072113153566,3.810908738994905,3.9798822279421495,85.71428571428571,5.694365312613866,6.466401812734404,0.5914072113153566,194.92369014285714,191.11278140386224,3.7540991582342746,26.27869410763992,-69.91201487852393,-54.42278193269743,4.354696935690926,26.676361172964334,0.05680958076063014
Final_Backtest_Forecast_MWH,Residual_Sum_MWH_desc,12,Days8-16,HE16-18,<75,Overcast,-10..10,20,22.20189742693296,36.3210528766092,-14.119155449676242,1.1100948713466479,2.5220104163142723,60.0,4.438812322598862,7.655770889607112,4.186070582378619,160.46279085,159.35269597865334,6.424964464573047,128.49928929146094,-3.407882209383655,-3.67523766220267,3.259090450629443,22.20189742693296,-5.314869593226399
