Stage,ForecastColumn,Replay_Horizon_Bucket,CloudCoverBucket,SolarLossBucket,Hour,N,Actual_Mean_MWH,Forecast_Mean_MWH,Bias_MWH,MAE_MWH,MAPE_PCT,Underforecast_Rate_PCT,P90_AbsError_MWH,Max_Underforecast_MWH,Max_Overforecast_MWH,RMSE_MWH
xgb_component,XGB_Pred_MWH,Days2to7,Clear/Low,High,14,1,244.417066,278.31866455078125,-33.901598550781245,33.901598550781245,13.870389292203205,0.0,33.901598550781245,-33.901598550781245,33.901598550781245,33.901598550781245
xgb_component,XGB_Pred_MWH,Days8to16,Mostly Cloudy,High,13,1,166.451883,194.4208984375,-27.96901543749999,27.96901543749999,16.803063403914745,0.0,27.96901543749999,-27.96901543749999,27.96901543749999,27.96901543749999
xgb_component,XGB_Pred_MWH,Days8to16,Mostly Cloudy,Medium,14,1,189.6312,213.34078979492188,-23.709589794921868,23.709589794921868,12.503000452943327,0.0,23.709589794921868,-23.709589794921868,23.709589794921868,23.709589794921868
xgb_component,XGB_Pred_MWH,Days2to7,Overcast,Medium,15,1,241.318358,264.9422607421875,-23.62390274218751,23.62390274218751,9.789517439940276,0.0,23.62390274218751,-23.62390274218751,23.62390274218751,23.62390274218751
xgb_component,XGB_Pred_MWH,Day1,Overcast,High,12,1,212.925,236.49771118164062,-23.572711181640614,23.572711181640614,11.070898758549072,0.0,23.572711181640614,-23.572711181640614,23.572711181640614,23.572711181640614
xgb_component,XGB_Pred_MWH,Days8to16,Clear/Low,Extreme,12,2,185.63299999999998,206.3270492553711,-20.694049255371098,20.694049255371098,10.984970068531409,0.0,26.78915291748047,-13.07516967773438,28.312928833007817,22.052006725063706
xgb_component,XGB_Pred_MWH,Day1,Mostly Cloudy,None,14,1,186.075341,167.26258850097656,18.812752499023446,18.812752499023446,10.11028779951205,100.0,18.812752499023446,18.812752499023446,0.0,18.812752499023446
xgb_component,XGB_Pred_MWH,Day1,Mostly Cloudy,Extreme,11,1,196.959,214.15994262695312,-17.200942626953122,17.200942626953122,8.733260539987064,0.0,17.200942626953122,-17.200942626953122,17.200942626953122,17.200942626953122
xgb_component,XGB_Pred_MWH,Days2to7,Overcast,Extreme,13,2,210.81314149999997,224.95610809326172,-14.142966593261733,16.35273126611328,7.210821676436986,50.0,27.66710454072267,2.2097646728515485,30.495697859375014,21.62025263311778
xgb_component,XGB_Pred_MWH,Day1,Mostly Cloudy,Extreme,13,1,239.728,255.7814178466797,-16.05341784667968,16.05341784667968,6.696513484732562,0.0,16.05341784667968,-16.05341784667968,16.05341784667968,16.05341784667968
xgb_component,XGB_Pred_MWH,Days8to16,Partly Cloudy,High,11,1,166.846666,182.83998107910156,-15.993315079101563,15.993315079101563,9.585636598277345,0.0,15.993315079101563,-15.993315079101563,15.993315079101563,15.993315079101563
xgb_component,XGB_Pred_MWH,Day1,Mostly Cloudy,None,13,1,169.701191,153.915771484375,15.785419515624994,15.785419515624994,9.3018908250473,100.0,15.785419515624994,15.785419515624994,0.0,15.785419515624994
xgb_component,XGB_Pred_MWH,Days8to16,Some Clouds,Extreme,12,1,123.229075,138.67730712890625,-15.448232128906255,15.448232128906255,12.536190934571453,0.0,15.448232128906255,-15.448232128906255,15.448232128906255,15.448232128906255
xgb_component,XGB_Pred_MWH,Days8to16,Clear/Low,High,12,2,207.099983,192.85408782958984,14.245895170410165,14.245895170410165,6.323361115815439,100.0,22.20470510830079,24.194407592773445,0.0,17.37580008587323
xgb_component,XGB_Pred_MWH,Days2to7,Overcast,Medium,14,1,236.918566,249.30673217773438,-12.388166177734377,12.388166177734377,5.228870994320629,0.0,12.388166177734377,-12.388166177734377,12.388166177734377,12.388166177734377
