Stage,ForecastColumn,Replay_Horizon_Bucket,Season,DailyMaxTempBucket,HourGroup,N,Actual_Mean_MWH,Forecast_Mean_MWH,Bias_MWH,MAE_MWH,MAPE_PCT,Underforecast_Rate_PCT,P90_AbsError_MWH,Max_Underforecast_MWH,Max_Overforecast_MWH,RMSE_MWH
xgb_component,XGB_Pred_MWH,Day1,Spring,3.0,Midday,4,144.71675,148.47727966308594,-3.76052966308594,3.76052966308594,2.6295522454497613,0.0,5.388894567871103,-2.3552387695312405,5.815426269531258,4.025233486627669
xgb_component,XGB_Pred_MWH,Day1,Spring,3.0,LateEvening,2,143.7645,147.39734649658203,-3.632846496582033,3.632846496582033,2.5700700338926636,0.0,4.174706408691418,-2.955521606445302,4.310171386718764,3.695448913802907
xgb_component,XGB_Pred_MWH,Day1,Spring,3.0,Peak,5,179.73020000000002,181.81512756347655,-2.0849275634765605,2.0849275634765605,1.174219627713145,0.0,2.8351666015624972,-0.6045072021484259,2.9351218261718657,2.2612442823651175
lgb_component,LGB_Pred_MWH,Day1,Spring,3.0,Midday,4,144.71675,149.16222915358884,-4.445479153588856,4.445479153588856,3.1102314626622425,0.0,4.959447574767111,-3.9804852416752112,5.2327191716999835,4.47045392679731
lgb_component,LGB_Pred_MWH,Day1,Spring,3.0,LateEvening,2,143.7645,148.15852613942704,-4.394026139427041,4.394026139427041,3.1020661524664774,0.0,4.938339676267054,-3.713634218377024,5.074418060477058,4.446391669679835
lgb_component,LGB_Pred_MWH,Day1,Spring,3.0,Peak,5,179.73020000000002,183.1308552164635,-3.4006552164634853,3.4006552164634853,1.8851735248477446,0.0,3.9051760673312517,-2.318277689151614,4.032340754939753,3.4502334455382555
prophet_benchmark,Prophet_Pred_MWH,Day1,Spring,3.0,Midday,4,144.71675,154.2191329629759,-9.502382962975894,9.502382962975894,6.448493313108369,0.0,12.563016460833003,-6.360518641053744,12.613336923065589,9.973396544711067
prophet_benchmark,Prophet_Pred_MWH,Day1,Spring,3.0,LateEvening,2,143.7645,135.84800442683357,7.916495573166429,7.916495573166429,5.429964551388284,100.0,9.649553592228717,10.082818096994288,0.0,8.207548686252649
prophet_benchmark,Prophet_Pred_MWH,Day1,Spring,3.0,Peak,5,179.73020000000002,181.04892789173104,-1.3187278917310379,2.9614109067160883,1.6820885390319862,40.0,6.91383497895721,2.688567286009743,9.730680107588853,4.5716948215361635
catboost_benchmark,CatBoost_Pred_MWH,Day1,Spring,3.0,Midday,4,144.71675,149.95226237606556,-5.235512376065564,5.235512376065564,3.604747151050285,0.0,8.024632239547486,-1.8948537745907856,8.502748967979642,5.84889174881522
catboost_benchmark,CatBoost_Pred_MWH,Day1,Spring,3.0,Peak,5,179.73020000000002,182.97157595028483,-3.2413759502848167,3.2413759502848167,1.7719143477645818,0.0,5.3004691950140455,-0.3699849769695618,6.332899737513856,3.7746866447062746
catboost_benchmark,CatBoost_Pred_MWH,Day1,Spring,3.0,LateEvening,2,143.7645,145.8245256202439,-2.0600256202438914,2.0600256202438914,1.5247446402061637,0.0,3.5180892532849386,-0.23744607894258252,3.8826051615452,2.7505457168408087
raw_xgb_lgb_production,Raw_Forecast_MWH,Day1,Spring,3.0,Midday,4,144.71675,148.73413572202452,-4.017385722024521,4.017385722024521,2.809806951904433,0.0,5.2194239521345365,-3.041306767263933,5.596911107844534,4.152210557965123
raw_xgb_lgb_production,Raw_Forecast_MWH,Day1,Spring,3.0,LateEvening,2,143.7645,147.6827888626489,-3.918288862648893,3.918288862648893,2.7695685783578314,0.0,4.461068884032267,-3.2398138359196764,4.59676388937811,3.97659602839584
raw_xgb_lgb_production,Raw_Forecast_MWH,Day1,Spring,3.0,Peak,5,179.73020000000002,182.30852543334666,-2.5783254333466514,2.5783254333466514,1.4408273391386166,0.0,3.0991260641182463,-1.770727889812207,3.1541594908660784,2.628331011322244
targeted_residual_meta_adjusted,Targeted_Meta_Adjusted_Forecast_MWH,Day1,Spring,3.0,Midday,4,144.71675,149.67185593448193,-4.955105934481935,4.955105934481935,3.4963354462243545,0.0,5.748934803506751,-3.6935846883933436,5.835921436708929,5.024262421870782
targeted_residual_meta_adjusted,Targeted_Meta_Adjusted_Forecast_MWH,Day1,Spring,3.0,LateEvening,2,143.7645,147.791047160068,-4.026547160067977,4.026547160067977,2.8487253353607933,0.0,4.629356868754494,-3.2730350242098325,4.780059295926122,4.096445113892898
targeted_residual_meta_adjusted,Targeted_Meta_Adjusted_Forecast_MWH,Day1,Spring,3.0,Peak,5,179.73020000000002,182.4831546200212,-2.7529546200212054,2.7529546200212054,1.5355941893122627,0.0,3.5314112453496875,-1.710013830567732,3.9067509237998763,2.8439005432792768
