Weather_Variable,Forecast_Weather_Lead_Days,Replay_Horizon_Bucket,N,Realized_Mean,Previous_Run_Mean,Bias_PreviousMinusRealized,MAE_PreviousVsRealized,P90_AbsError
BTM_Solar_Loss_From_ClearSky_MW,1.0,Day1,288,1.701367236087908,1.5338877832980966,-0.16747945278981127,0.34729834958051486,0.9250318684194607
BTM_Solar_Loss_From_ClearSky_MW,2.0,Days2to7,288,1.655135527001078,1.5548382533056009,-0.10029727369547699,0.364073185448987,0.9685990185936227
BTM_Solar_Loss_From_ClearSky_MW,3.0,Days2to7,288,1.4163256951982015,1.5568042254303571,0.14047853023215554,0.5061741733773382,1.2775454077152817
BTM_Solar_Loss_From_ClearSky_MW,4.0,Days2to7,287,1.372537219645693,1.185279551675668,-0.18725766797002505,0.2708120320541549,0.8208250668275999
BTM_Solar_Loss_From_ClearSky_MW,5.0,Days2to7,288,1.5276369437181343,1.3520480642091852,-0.17558887950894916,0.5406339103599737,1.367673593816724
BTM_Solar_Loss_From_ClearSky_MW,6.0,Days2to7,288,1.6185157642907466,1.6958468011050325,0.07733103681428592,0.4692642537791724,1.0662517832513174
BTM_Solar_Loss_From_ClearSky_MW,7.0,Days2to7,288,1.935505887446373,1.6194309496946155,-0.3160749377517577,0.5965673082819329,2.0302645261371746
BTM_Solar_Proxy_MW,1.0,Day1,288,3.3165510225243997,3.536713943436939,0.22016292091253922,0.40210198515317214,0.9842058562828011
BTM_Solar_Proxy_MW,2.0,Days2to7,288,3.3666744316754746,3.496111049403477,0.12943661772800266,0.40989806291266173,0.9917007237712121
BTM_Solar_Proxy_MW,3.0,Days2to7,288,3.596365417003779,3.449300845625111,-0.1470645713786681,0.5855372973387303,1.652564532278106
BTM_Solar_Proxy_MW,4.0,Days2to7,287,3.679774652445765,3.884570537264207,0.20479588481844205,0.35701680760726257,0.9768632990350342
BTM_Solar_Proxy_MW,5.0,Days2to7,288,3.466087259171233,3.6996815251878226,0.23359426601659028,0.6540355832705274,1.684084714474894
BTM_Solar_Proxy_MW,6.0,Days2to7,288,3.3623410503325015,3.3222324234847465,-0.04010862684775542,0.5478456270874402,1.2430911796709623
BTM_Solar_Proxy_MW,7.0,Days2to7,288,3.032669248155632,3.402172290292293,0.3695030421366611,0.6702986815278792,2.1559900611837337
CloudCover_Norm,1.0,Day1,288,0.45652777777777775,0.5317361111111111,0.07520833333333334,0.1761111111111111,0.76
CloudCover_Norm,2.0,Days2to7,288,0.3637152777777778,0.40319444444444447,0.03947916666666667,0.19100694444444444,0.79
CloudCover_Norm,3.0,Days2to7,288,0.38333333333333336,0.42791666666666667,0.044583333333333336,0.33868055555555554,0.98
CloudCover_Norm,4.0,Days2to7,287,0.3421602787456446,0.37369337979094075,0.03153310104529617,0.31411149825783974,0.9940000000000003
CloudCover_Norm,5.0,Days2to7,288,0.33315972222222223,0.355,0.021840277777777778,0.31649305555555557,0.94
CloudCover_Norm,6.0,Days2to7,288,0.4818402777777778,0.3730902777777778,-0.10875,0.21444444444444444,0.7230000000000001
CloudCover_Norm,7.0,Days2to7,288,0.6303819444444445,0.4132986111111111,-0.21708333333333332,0.3200694444444444,0.9530000000000001
Temperature,1.0,Day1,288,63.736805555555556,63.497569444444444,-0.23923611111111132,2.3322916666666664,4.929999999999995
Temperature,2.0,Days2to7,288,63.50868055555556,65.77222222222223,2.263541666666667,4.156597222222222,8.630000000000003
Temperature,3.0,Days2to7,288,63.17465277777777,65.61284722222223,2.4381944444444446,4.014583333333333,8.86
Temperature,4.0,Days2to7,287,62.90905923344948,65.50731707317073,2.598257839721254,3.847038327526132,7.139999999999998
Temperature,5.0,Days2to7,288,62.22569444444444,65.82395833333334,3.598263888888889,4.514236111111111,8.4
Temperature,6.0,Days2to7,288,61.21597222222223,64.92534722222223,3.7093749999999996,5.510763888888889,10.399999999999999
Temperature,7.0,Days2to7,288,60.50208333333333,63.83159722222222,3.3295138888888887,5.326041666666666,10.360000000000005
Temperature_DailyMax,1.0,Day1,288,74.35,75.5,1.1499999999999997,2.7499999999999964,5.099999999999994
Temperature_DailyMax,2.0,Days2to7,288,74.81666666666666,76.44166666666666,1.625,3.6583333333333345,8.199999999999996
Temperature_DailyMax,3.0,Days2to7,288,74.38333333333334,76.5,2.1166666666666685,4.016666666666664,9.099999999999994
Temperature_DailyMax,4.0,Days2to7,287,74.71742160278747,77.35017421602788,2.6327526132404167,3.9540069686411132,6.599999999999994
Temperature_DailyMax,5.0,Days2to7,288,73.775,77.44166666666666,3.6666666666666674,4.699999999999999,11.600000000000009
Temperature_DailyMax,6.0,Days2to7,288,73.26666666666667,75.93333333333334,2.666666666666668,5.3999999999999995,10.799999999999997
Temperature_DailyMax,7.0,Days2to7,288,71.25833333333334,75.19166666666666,3.933333333333334,5.666666666666668,9.799999999999997
