time,Average_kW,ShapeMethod,ShapeQuantile
00:00:00,0.0,upper-quantile,0.75
00:15:00,0.0,upper-quantile,0.75
00:30:00,0.0,upper-quantile,0.75
00:45:00,0.0,upper-quantile,0.75
01:00:00,0.0,upper-quantile,0.75
01:15:00,0.0,upper-quantile,0.75
01:30:00,0.0,upper-quantile,0.75
01:45:00,0.0,upper-quantile,0.75
02:00:00,0.0,upper-quantile,0.75
02:15:00,0.0,upper-quantile,0.75
02:30:00,0.0,upper-quantile,0.75
02:45:00,0.0,upper-quantile,0.75
03:00:00,0.0,upper-quantile,0.75
03:15:00,0.0,upper-quantile,0.75
03:30:00,0.0,upper-quantile,0.75
03:45:00,0.0,upper-quantile,0.75
04:00:00,0.0,upper-quantile,0.75
04:15:00,0.0,upper-quantile,0.75
04:30:00,0.0,upper-quantile,0.75
04:45:00,0.0,upper-quantile,0.75
05:00:00,0.0,upper-quantile,0.75
05:15:00,0.0,upper-quantile,0.75
05:30:00,0.0,upper-quantile,0.75
05:45:00,0.0,upper-quantile,0.75
06:00:00,0.0,upper-quantile,0.75
06:15:00,4.049044864708226,upper-quantile,0.75
06:30:00,25.174426721581177,upper-quantile,0.75
06:45:00,124.37014127388684,upper-quantile,0.75
07:00:00,400.72338036859986,upper-quantile,0.75
07:15:00,872.0521009795946,upper-quantile,0.75
07:30:00,1520.0757571154568,upper-quantile,0.75
07:45:00,2436.8818679666347,upper-quantile,0.75
08:00:00,3506.602231493105,upper-quantile,0.75
08:15:00,4923.537775713238,upper-quantile,0.75
08:30:00,6626.668801292362,upper-quantile,0.75
08:45:00,8357.452858212546,upper-quantile,0.75
09:00:00,9986.98564923995,upper-quantile,0.75
09:15:00,11657.67950823383,upper-quantile,0.75
09:30:00,13403.528137807427,upper-quantile,0.75
09:45:00,15006.658522941882,upper-quantile,0.75
10:00:00,16566.12287090382,upper-quantile,0.75
10:15:00,18138.709335030497,upper-quantile,0.75
10:30:00,19550.6053707668,upper-quantile,0.75
10:45:00,20728.010816790367,upper-quantile,0.75
11:00:00,21745.34962197611,upper-quantile,0.75
11:15:00,22695.615333686696,upper-quantile,0.75
11:30:00,23362.32366977251,upper-quantile,0.75
11:45:00,23851.25017999254,upper-quantile,0.75
12:00:00,24253.368781179513,upper-quantile,0.75
12:15:00,24470.55405113356,upper-quantile,0.75
12:30:00,24586.532409999996,upper-quantile,0.75
12:45:00,24517.596388353788,upper-quantile,0.75
13:00:00,24413.723849796694,upper-quantile,0.75
13:15:00,24203.492198240478,upper-quantile,0.75
13:30:00,23815.914025538113,upper-quantile,0.75
13:45:00,23318.291594560513,upper-quantile,0.75
14:00:00,22813.200750223095,upper-quantile,0.75
14:15:00,22129.982916153644,upper-quantile,0.75
14:30:00,21260.579861387356,upper-quantile,0.75
14:45:00,20131.84863249235,upper-quantile,0.75
15:00:00,18948.440899708563,upper-quantile,0.75
15:15:00,17693.40278583449,upper-quantile,0.75
15:30:00,16390.98872272415,upper-quantile,0.75
15:45:00,14941.030204387736,upper-quantile,0.75
16:00:00,13530.406990673862,upper-quantile,0.75
16:15:00,12206.927409465232,upper-quantile,0.75
16:30:00,10643.99177486477,upper-quantile,0.75
16:45:00,9127.280734084383,upper-quantile,0.75
17:00:00,7826.258475539787,upper-quantile,0.75
17:15:00,6528.922941110165,upper-quantile,0.75
17:30:00,5180.048111439089,upper-quantile,0.75
17:45:00,4159.215468319896,upper-quantile,0.75
18:00:00,3310.597896883219,upper-quantile,0.75
18:15:00,2501.293070341235,upper-quantile,0.75
18:30:00,1800.5057306362883,upper-quantile,0.75
18:45:00,1158.6322358248694,upper-quantile,0.75
19:00:00,599.7704176920354,upper-quantile,0.75
19:15:00,277.3487490538608,upper-quantile,0.75
19:30:00,93.59375818342795,upper-quantile,0.75
19:45:00,19.1604231245092,upper-quantile,0.75
20:00:00,0.0,upper-quantile,0.75
20:15:00,0.0,upper-quantile,0.75
20:30:00,0.0,upper-quantile,0.75
20:45:00,0.0,upper-quantile,0.75
21:00:00,0.0,upper-quantile,0.75
21:15:00,0.0,upper-quantile,0.75
21:30:00,0.0,upper-quantile,0.75
21:45:00,0.0,upper-quantile,0.75
22:00:00,0.0,upper-quantile,0.75
22:15:00,0.0,upper-quantile,0.75
22:30:00,0.0,upper-quantile,0.75
22:45:00,0.0,upper-quantile,0.75
23:00:00,0.0,upper-quantile,0.75
23:15:00,0.0,upper-quantile,0.75
23:30:00,0.0,upper-quantile,0.75
23:45:00,0.0,upper-quantile,0.75
